,Costs
1370,49831.0
1371,50101.0
1372,50506.0
1373,50524.0
1374,48931.0
1375,49597.0
1376,49147.0
1377,50263.0
1378,51973.0
1379,48940.0
1380,48526.0
1381,50200.0
1382,51604.0
1383,51019.0
1384,49840.0
1385,49327.0
1386,48670.0
1387,50983.0
1388,50263.0
1389,50191.0
1390,50326.0
1391,49408.0
1392,51631.0
1393,51352.0
1394,51343.0
1395,48850.0
1396,49543.0
1397,50488.0
1398,50929.0
1399,49939.0
1400,49444.0
1401,49903.0
1402,50299.0
1403,50533.0
1404,50686.0
1405,49003.0
1406,49093.0
1407,49156.0
1408,51190.0
1409,50758.0
1410,49309.0
1411,51523.0
1412,50092.0
1413,49939.0
1414,49696.0
1415,50011.0
1416,50947.0
1417,51748.0
1418,49777.0
1419,51478.0
1420,48589.0
1421,48913.0
1422,49066.0
1423,51091.0
1424,49255.0
1425,51478.0
1426,50497.0
1427,49831.0
1428,48472.0
1429,50875.0
1430,50398.0
1431,50812.0
1432,49732.0
1433,50263.0
1434,51442.0
1435,50623.0
1436,50074.0
1437,51334.0
1438,52342.0
1439,48931.0
1440,49615.0
1441,50983.0
1442,50758.0
1443,48922.0
1444,51253.0
1445,49723.0
1446,49363.0
1447,51946.0
1448,51721.0
1449,51622.0
1450,47995.0
1451,50551.0
1452,49354.0
1453,51181.0
1454,49210.0
1455,51199.0
1456,50614.0
1457,49624.0
1458,50857.0
1459,51370.0
1460,49561.0
1461,50101.0
1462,49498.0
1463,51073.0
1464,48814.0
1465,52369.0
1466,47563.0
1467,47779.0
1468,49588.0
1469,49039.0
1470,51415.0
1471,50524.0
1472,50371.0
1473,50632.0
1474,47860.0
1475,50569.0
1476,50398.0
1477,49507.0
1478,50560.0
1479,49462.0
1480,50812.0
1481,51505.0
1482,50731.0
1483,52252.0
1484,50839.0
1485,53044.0
1486,50812.0
1487,51901.0
1488,51910.0
1489,50551.0
1490,49336.0
1491,49552.0
1492,50839.0
1493,52261.0
1494,51739.0
1495,49939.0
1496,49237.0
1497,49732.0
1498,50920.0
1499,50830.0
1500,50434.0
1501,49273.0
1502,49597.0
1503,50830.0
1504,48877.0
1505,50515.0
1506,51280.0
1507,50659.0
1508,48562.0
1509,49012.0
1510,49588.0
1511,50713.0
1512,50326.0
1513,50173.0
1514,50884.0
1515,50443.0
1516,47680.0
1517,47662.0
1518,49174.0
1519,51118.0
1520,50236.0
1521,51775.0
1522,50155.0
1523,49885.0
1524,50767.0
1525,50866.0
1526,51010.0
1527,49255.0
1528,50191.0
1529,48976.0
1530,50146.0
1531,52054.0
1532,51829.0
1533,48562.0
1534,50983.0
1535,49723.0
1536,49183.0
1537,48094.0
1538,50155.0
1539,50983.0
1540,50911.0
1541,50083.0
1542,50299.0
1543,49984.0
1544,50263.0
1545,49921.0
1546,48193.0
1547,51856.0
1548,50128.0
1549,51496.0
1550,48517.0
1551,49741.0
1552,49804.0
1553,50290.0
1554,50785.0
1555,50560.0
1556,50731.0
1557,51523.0
1558,49057.0
1559,50812.0
1560,48355.0
1561,49435.0
1562,50695.0
1563,51865.0
1564,49471.0
1565,51046.0
1566,52621.0
1567,51433.0
1568,49525.0
1569,51055.0
1570,47437.0
1571,50794.0
1572,49984.0
1573,49723.0
1574,48994.0
1575,49282.0
1576,50560.0
1577,49111.0
1578,50155.0
1579,49354.0
1580,49579.0
1581,50893.0
1582,52252.0
1583,51676.0
1584,50164.0
1585,50596.0
1586,50443.0
1587,52504.0
1588,51172.0
1589,51289.0
1590,52036.0
1591,49966.0
1592,52225.0
1593,49147.0
1594,50236.0
1595,49354.0
1596,48229.0
1597,49696.0
1598,49408.0
1599,52063.0
1600,49678.0
1601,49534.0
1602,49183.0
1603,51010.0
1604,51262.0
1605,49561.0
1606,50245.0
1607,50209.0
1608,50173.0
1609,48913.0
1610,50344.0
1611,47419.0
1612,50191.0
1613,48175.0
1614,48778.0
1615,48751.0
1616,49228.0
1617,50227.0
1618,51271.0
1619,47878.0
1620,49948.0
1621,49300.0
1622,50326.0
1623,52270.0
1624,49660.0
1625,49444.0
1626,51982.0
1627,49642.0
1628,50101.0
1629,49741.0
1630,51037.0
1631,51046.0
1632,49786.0
1633,49435.0
1634,49849.0
1635,49651.0
1636,49966.0
1637,51109.0
1638,51235.0
1639,50200.0
1640,48310.0
1641,49273.0
1642,48535.0
1643,49516.0
1644,49831.0
1645,50056.0
1646,49264.0
1647,50425.0
1648,51586.0
1649,49156.0
1650,51010.0
1651,51847.0
1652,49885.0
1653,51541.0
1654,52162.0
1655,50614.0
1656,50407.0
1657,48301.0
1658,49714.0
1659,49102.0
1660,51577.0
1661,48742.0
1662,50560.0
1663,48364.0
1664,50164.0
1665,50956.0
1666,49705.0
1667,52180.0
1668,50488.0
1669,49498.0
1670,50398.0
1671,50254.0
1672,50929.0
1673,51478.0
1674,50110.0
1675,50884.0
1676,49471.0
1677,51577.0
1678,50092.0
1679,51001.0
1680,50155.0
1681,50776.0
1682,51037.0
1683,50164.0
1684,50821.0
1685,50182.0
1686,50398.0
1687,50020.0
1688,51442.0
1689,52198.0
1690,51190.0
1691,50857.0
1692,51667.0
1693,48103.0
1694,51163.0
1695,49534.0
1696,49876.0
1697,49714.0
1698,50650.0
1699,49678.0
1700,50956.0
1701,48688.0
1702,49786.0
1703,50470.0
1704,49885.0
1705,49723.0
1706,50263.0
1707,49615.0
1708,50164.0
1709,50326.0
1710,50290.0
1711,48553.0
1712,49615.0
1713,51181.0
1714,50434.0
1715,52153.0
1716,50803.0
1717,49741.0
1718,50812.0
1719,51082.0
1720,49552.0
1721,51019.0
1722,51055.0
1723,51118.0
1724,49921.0
1725,49444.0
1726,53917.0
1727,50209.0
1728,48040.0
1729,48409.0
1730,49651.0
1731,50758.0
1732,50236.0
1733,51613.0
1734,49075.0
1735,49561.0
1736,49408.0
1737,51964.0
1738,50137.0
1739,48859.0
1740,52432.0
1741,48850.0
1742,50857.0
1743,50875.0
1744,51856.0
1745,49390.0
1746,50920.0
1747,51001.0
1748,48679.0
